SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22008,1610612747,LAL,Los Angeles Lakers,0020801038,2009-03-21,LAL @ CHI,W,240,117,45,91,0.495,11,21,0.524,16,28,0.571,14,25,39,22,16,3,10,24,8.0
22008,1610612747,LAL,Los Angeles Lakers,0020801056,2009-03-24,LAL @ OKC,W,239,107,43,86,0.5,5,13,0.385,16,17,0.941,9,32,41,24,10,4,13,17,18.0
22008,1610612747,LAL,Los Angeles Lakers,0020801070,2009-03-26,LAL @ DET,W,240,92,35,77,0.455,6,18,0.333,16,19,0.842,7,32,39,24,8,1,13,17,15.0
22008,1610612747,LAL,Los Angeles Lakers,0020801078,2009-03-27,LAL @ NJN,W,240,103,41,87,0.471,7,21,0.333,14,19,0.737,11,26,37,29,11,5,11,17,8.0
22008,1610612747,LAL,Los Angeles Lakers,0020801092,2009-03-29,LAL @ ATL,L,241,76,28,80,0.35,4,20,0.2,16,23,0.696,15,35,50,14,7,7,14,15,-10.0
22008,1610612747,LAL,Los Angeles Lakers,0020801104,2009-03-31,LAL @ CHA,L,240,84,38,97,0.392,4,14,0.286,4,6,0.667,18,24,42,22,8,4,10,21,-10.0
22008,1610612747,LAL,Los Angeles Lakers,0020801117,2009-04-01,LAL @ MIL,W,240,104,34,72,0.472,5,13,0.385,31,36,0.861,10,31,41,15,13,3,20,20,6.0
22008,1610612747,LAL,Los Angeles Lakers,0020801134,2009-04-03,LAL vs. HOU,W,240,93,34,86,0.395,7,18,0.389,18,21,0.857,11,31,42,20,11,4,10,21,12.0
22008,1610612747,LAL,Los Angeles Lakers,0020801152,2009-04-05,LAL vs. LAC,W,239,88,33,78,0.423,5,20,0.25,17,29,0.586,9,29,38,21,7,3,10,24,3.0
22008,1610612747,LAL,Los Angeles Lakers,0020801160,2009-04-07,LAL @ SAC,W,242,122,47,92,0.511,6,19,0.316,22,29,0.759,12,38,50,21,11,4,6,15,18.0
22008,1610612747,LAL,Los Angeles Lakers,0020801175,2009-04-09,LAL vs. DEN,W,241,116,37,87,0.425,5,24,0.208,37,46,0.804,18,33,51,21,9,2,11,25,14.0
22008,1610612747,LAL,Los Angeles Lakers,0020801186,2009-04-10,LAL @ POR,L,240,98,38,85,0.447,7,18,0.389,15,20,0.75,14,25,39,19,2,1,11,31,-8.0
22008,1610612747,LAL,Los Angeles Lakers,0020801201,2009-04-12,LAL vs. MEM,W,239,92,38,84,0.452,3,15,0.2,13,16,0.813,9,38,47,20,13,4,10,21,17.0
22008,1610612747,LAL,Los Angeles Lakers,0020801216,2009-04-14,LAL vs. UTA,W,241,125,48,86,0.558,8,13,0.615,21,24,0.875,7,23,30,39,11,8,16,31,13.0
