,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Los Angeles Lakers,Chicago Bulls,-1.8973665961010275,0.08558813134252535,1.0090181084026195,-0.1880525819144376,-0.28480147606318496,0.28480147606318496,1.0071108898269587,0,12/25/2011
1,New York Knicks,Boston Celtics,1.8973665961010275,-1.5120569870512786,-1.0090181084026195,0.3590094745639262,0.2848014760631869,-0.2848014760631869,0.3159563575927717,1,12/25/2011
2,Miami Heat,Dallas Mavericks,1.8973665961010275,2.8529377114175065,1.8919089532549125,1.8805258191443757,1.4240073803159317,-1.4240073803159317,1.283572702720635,1,12/25/2011
3,Oklahoma City Thunder,Orlando Magic,1.8973665961010275,-0.2424997054704874,-0.2522545271006552,1.4616814321531282,1.2427700773666308,-1.2427700773666308,1.9747272349548213,1,12/25/2011
4,Golden State Warriors,Chicago Bulls,0.0,-0.6183787294338379,-1.244134171467679,-0.20191743758867955,-0.06125857231541833,0.3743921174575149,0.5772832507974142,1,12/26/2011
5,San Antonio Spurs,Memphis Grizzlies,2.0799471766154856,-0.8966491576790655,-3.326154621678897,2.8066523824826453,1.5804711657377897,-1.5092682235006047,-0.3996576351674406,1,12/26/2011
6,New Orleans Hornets,Phoenix Suns,2.0799471766154856,0.2628109600093803,-0.6093718390862104,0.22210918134754748,0.0,0.0,0.2664384234449604,1,12/26/2011
7,Orlando Magic,Houston Rockets,1.0399735883077428,-0.4019461741319948,1.1425721982866444,1.0802582910994352,-0.24503428926167306,-1.415670194136228,0.3108448273524537,1,12/26/2011
8,Toronto Raptors,Cleveland Cavaliers,2.0799471766154856,1.2831358635752128,1.4472581178297492,1.8980239133335877,0.808613154563522,-0.7721837422561248,2.6865874364033475,1,12/26/2011
9,Portland Trail Blazers,Philadelphia 76ers,2.0799471766154856,0.3864867058961486,-2.0312394636207007,0.7975738784752839,0.3552997194294265,-0.3392928564458733,-1.4432081269935328,1,12/26/2011
10,Indiana Pacers,Detroit Pistons,2.0799471766154856,2.1643255530184318,-1.4726486111250083,2.7056936636883053,1.5069608789592883,-1.4390697014773215,-0.11101600976873227,1,12/26/2011
