Home,Away,W_PCT,NET_RATING,PLUS_MINUS,E_NET_RATING,PIE,E_OFF_RATING,PTS,OFF_RATING,TS_PCT,E_DEF_RATING
2015-16 Chicago Bulls,2018-19 Philadelphia 76ers,0.02442481174075718,-0.10347516962230822,-0.14716548076907748,-0.28461020070955967,-0.4354508853767523,0.2840793845784096,0.4102471746684963,0.4102471746684963,0.0,0.6359937507224162
2015-16 Chicago Bulls,2018-19 Detroit Pistons,-1.238832425220529,-0.49270580289151034,-0.40361978950933625,-0.4820991603246124,0.25900740152785934,0.4231345989002779,0.13553685910487034,0.13553685910487034,0.3960553574668405,0.9988250063218667
2015-16 Chicago Bulls,2018-19 Dallas Mavericks,0.036471036121005745,0.8030983600085422,0.8511008913545695,0.9805070422201587,0.6598202803303933,-1.8709471395813684,-2.1322834770192447,-2.1322834770192447,-1.1594151652012217,-2.7790430739395005
2015-16 Chicago Bulls,2018-19 Charlotte Hornets,0.039024050710643604,-0.6426283584667566,-0.5992974357798599,-0.7407449963260493,0.02133391977079581,-1.1365118918293184,-1.0983486262401259,-1.0983486262401259,-0.7054547908494239,-0.22847898682368062
2015-16 Chicago Bulls,2018-19 Charlotte Hornets,0.4102175984582876,-0.4861637644664212,-0.463806725967185,-0.6088977416738469,0.02157696207970569,-1.2550209703749713,-1.2501921487046188,-1.2501921487046188,-0.7969481383340127,-0.5982928604272191
2015-16 Chicago Bulls,2018-19 Atlanta Hawks,0.04247558710352613,-0.09100693896830142,-0.07696499458428648,-0.30292640146754357,-0.05933816231235152,-0.6973720947780223,-0.6214720475203463,-0.6214720475203463,-1.4553644359629132,-0.2931410613838404
2015-16 Chicago Bulls,2018-19 Golden State Warriors,-1.3157112722202704,-1.7348641539526248,-1.6852964737505007,-1.8140412548563885,-1.7682704434890153,-2.662961045733771,-2.5021403609222754,-2.5021403609222754,-3.0467414349053534,0.10369880089578298
2015-16 Chicago Bulls,2018-19 Denver Nuggets,-1.3127728010943276,-1.311822807423026,-1.3359508243284193,-1.1611072156847688,-1.2229278627344735,-1.2428294583109385,-1.1315936862586187,-1.1315936862586187,-0.8942015860594358,0.4791376314923351
2015-16 Chicago Bulls,2018-19 Indiana Pacers,-0.4703311480703161,-1.1154475733620293,-1.07810569403294,-1.177985388138069,-0.9079447327824783,-1.4678123431955732,-1.6253668472590301,-1.6253668472590301,-1.8074643832994386,0.2905482873248286
2015-16 Chicago Bulls,2018-19 Houston Rockets,0.9317582371524037,0.7985029022508112,0.8616771203573512,0.7369553673363167,1.321074529435567,-0.5177833648094589,-0.6938414625201808,-0.6938414625201808,-0.11495733936299035,-1.5836566774401497
2015-16 Chicago Bulls,2018-19 New York Knicks,0.9562188410743813,0.29101812712319225,0.2745794086077823,0.5946457719911199,0.7273221446367285,-0.2305240207866288,-0.46408589973054204,-0.46408589973054204,-0.1603100113249536,-1.1372458454335685
2015-16 Chicago Bulls,2018-19 New Orleans Pelicans,0.5258235212417284,0.11472325321504434,0.07135382547567884,-0.05650003066304582,0.1380204567029334,-1.8439599027794396,-1.7282780457443772,-1.7282780457443772,-1.8655304725193873,-1.9235576607225853
2015-16 Chicago Bulls,2018-19 Cleveland Cavaliers,2.0464424742521654,1.4084694527349124,1.3824666260311589,1.267667262443463,1.4742884881988099,-0.20618871248609782,-0.1608730564320221,-0.1608730564320221,-0.3430910605245444,-2.4007566963020137
2015-16 Chicago Bulls,2018-19 Dallas Mavericks,0.9065983448185194,0.2559116286763575,0.2066039213560621,0.4825022547569974,0.3759497163901328,-0.7922027055179653,-0.8875392324992514,-0.8875392324992514,-1.6973455679368903,-1.9213118239220925
2015-16 Chicago Bulls,2018-19 Boston Celtics,-0.14314044440943385,-0.5033772043838809,-0.5515469246513198,-0.7929172735921319,-0.4038072800317445,-0.31830680816157897,-0.024609890609845753,-0.024609890609845753,-0.3239668231187929,1.0779808076364317
2015-16 Chicago Bulls,2018-19 Milwaukee Bucks,-1.2078329839359536,-2.106515625304013,-2.07988366102554,-2.152068361872812,-1.842618708445002,-2.946484236036671,-2.823970729016861,-2.823970729016861,-3.5027056430951795,0.30075591258494805
2015-16 Chicago Bulls,2018-19 Toronto Raptors,-1.4242024620076543,-1.3117976397067168,-1.3881564554645212,-1.6091364033386966,-1.303623842284298,-2.4643349485504373,-2.365028308899803,-2.365028308899803,-2.6789906525666805,-0.10142557229809313
2015-16 Chicago Bulls,2018-19 Phoenix Suns,1.8471423851782742,1.6143140607212851,1.6333415045665716,1.6120212820429223,1.821110038294179,0.4039748979138793,0.6236950675816664,0.6236950675816664,-1.6938882038626537,-2.267501143049142
2015-16 Chicago Bulls,2018-19 Miami Heat,0.9126212260609563,0.0922358166499701,0.07297818834893882,0.2808276387289996,0.1450379831694907,-0.19930869121156047,-0.4047348180911545,-0.4047348180911545,-0.5644566362627441,-0.7149495007707707
2015-16 Chicago Bulls,2018-19 Minnesota Timberwolves,0.554197972771553,0.4511552857366977,0.3714521484529312,0.382280147841435,0.05884749528430455,-0.9057678214199978,-0.7024638762115827,-0.7024638762115827,-0.9746686772496462,-1.7002693889443643
2015-16 Chicago Bulls,2018-19 San Antonio Spurs,0.24173452897972275,-0.19646316176027812,-0.19344582254454606,-0.40074053415972155,-0.03053481540647776,-1.79935010583279,-1.537958758657155,-1.537958758657155,-1.1832375448034507,-1.4363440058565264
