,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Los Angeles Clippers,Los Angeles Lakers,-1.8257418583505538,-2.446293011623434,-1.4837690792802867,-2.003158291831107,-1.4006750046306813,1.4006750046306813,0.032496205612514456,0,10/29/2013
0,Miami Heat,Chicago Bulls,1.8257418583505538,-0.29271882190365844,0.4093156080773211,1.843816154980905,1.2964925662697193,-1.2964925662697193,1.9660204395571221,1,10/29/2013
0,Orlando Magic,Indiana Pacers,-1.8257418583505538,-1.108149825778136,-1.0744534712029676,-1.6085968101067978,-1.2270376073624152,1.2270376073624152,-1.998516645169636,0,10/29/2013
0,Miami Heat,Philadelphia 76ers,-1.0177004891982149,-0.6448256719877703,0.5359049261532984,0.009800236134690665,-0.45636261557838176,-0.5903909240360194,-0.1883790910898584,0,10/30/2013
0,Golden State Warriors,Los Angeles Lakers,1.0177004891982149,0.15684948778080987,-0.9589877625901134,3.7632906757212212,2.157350546370534,-2.9385366446338193,2.294799836912818,1,10/30/2013
0,Memphis Grizzlies,San Antonio Spurs,-2.0354009783964297,0.7319642763104408,-0.3102607467203313,-1.450434947934221,-1.0233585925090984,0.9929301904242122,-2.329050580747338,0,10/30/2013
0,New York Knicks,Milwaukee Bucks,2.0354009783964297,0.5576870676650989,-0.5923159710115411,1.450434947934221,1.0233585925091004,-0.992930190424214,0.8562685958629906,1,10/30/2013
0,Phoenix Suns,Portland Trail Blazers,2.0354009783964297,1.307079064840074,0.19743865700384677,2.6754644647705557,1.590354569439817,-1.5430671878214126,1.284402893794487,1,10/30/2013
0,Brooklyn Nets,Cleveland Cavaliers,-2.0354009783964297,-2.0564710620150506,0.28205522429121044,-0.8428203075833984,-0.5946543172688027,0.5769729484897471,0.22262983492437805,0,10/30/2013
0,Charlotte Bobcats,Houston Rockets,-2.0354009783964297,-3.328694685126054,-3.4410737363527613,-2.783267062252153,-2.1158630358634083,2.052950258579792,-2.311925208830079,0,10/30/2013
0,Detroit Pistons,Washington Wizards,2.0354009783964297,1.0630909727365938,0.5923159710115403,2.195252894170712,1.5488670589326916,-1.5028132611825935,0.9761461992838096,1,10/30/2013
0,Utah Jazz,Oklahoma City Thunder,-2.0354009783964297,-0.17427720864534324,2.228236271900559,-0.5880141680814408,-0.41487510507125663,0.40253926638819465,0.034250743834519704,0,10/30/2013
0,Atlanta Hawks,Dallas Mavericks,-2.0354009783964297,-1.585922598672623,-0.8743711953027502,-1.7052410874361783,-1.3552586765661045,1.3149616035347687,-1.3357790095462683,0,10/30/2013
0,Sacramento Kings,Denver Nuggets,2.0354009783964297,0.08713860432267162,-1.4666871663142915,0.43121038992638994,0.4425334454093407,-0.42937521748074114,-0.2568805787588978,1,10/30/2013
0,Orlando Magic,Minnesota Timberwolves,-2.0354009783964297,0.19170492950987775,1.2692485093104442,-1.1466276277588097,-1.3137711660589793,0.46962914411956036,-0.5137611575177955,0,10/30/2013
0,Boston Celtics,Toronto Raptors,-2.0354009783964297,-2.8407185009190954,1.212837464452202,-1.2740306975097884,-0.8988960609877226,0.8721684105077548,1.16452529037367,0,10/30/2013
0,New Orleans Pelicans,Indiana Pacers,-2.0354009783964297,0.5576870676650988,-1.3256595541686866,-1.323031878183242,-0.7467751891282627,1.0868560192481247,-1.5755342163879043,0,10/30/2013
0,Chicago Bulls,New York Knicks,0.0,1.1373869655307054,0.08904935967178507,-1.123330256868431,0.3177235305182644,1.3117955702941102,-0.03410299889557045,1,10/31/2013
0,Golden State Warriors,Los Angeles Clippers,0.0,-0.4899513082286111,0.5342961580307084,1.2838060078496354,0.20721099816408572,-1.1760925802636841,1.2106564607927501,0,10/31/2013
0,Los Angeles Lakers,San Antonio Spurs,-2.123701245001383,-0.304926119443263,0.6775371579952034,-2.327217413805519,-0.35094587034176083,2.1694231157511727,-0.5538386942130363,0,11/01/2013
0,Phoenix Suns,Utah Jazz,3.183959887558295,-0.1742434968247213,-1.8899720723024078,1.8117934228284576,1.2199546921404094,-0.5593043970296013,0.7881550648416286,1,11/01/2013
0,Miami Heat,Brooklyn Nets,-0.5317213012222353,-1.4375088488039558,0.21395910252480127,0.6247563526994682,0.6517566163489847,-0.01694861809180509,1.3845967355325883,0,11/01/2013
0,Milwaukee Bucks,Boston Celtics,1.5919799437791475,-1.6335327827317678,-1.6046932689360063,1.108942526041556,0.08355854055756234,-1.1186087940592002,-0.2556178588675552,1,11/01/2013
0,Orlando Magic,New Orleans Pelicans,1.0602586425569123,-0.23958480813399136,1.4620538672528056,2.342836322623006,1.2199546921404094,-1.2372491207018406,1.874530965028737,1,11/01/2013
0,Dallas Mavericks,Houston Rockets,-1.5919799437791475,-2.8096763862986402,-1.8186523714608063,-1.5931286993836438,0.0167117081115139,1.9151938443740821,-0.2556178588675527,0,11/01/2013
0,Atlanta Hawks,Toronto Raptors,0.0,-2.8096763862986402,-0.32093865378720143,-0.07809454408743353,0.9191439461331856,1.1016601759673927,1.83192798855081,1,11/01/2013
0,Sacramento Kings,Los Angeles Clippers,-0.5317213012222354,0.0,-1.3550743159904055,-0.9839912555016623,-1.704594227374272,-0.5254071608459865,-1.6402145944001436,0,11/01/2013
0,Portland Trail Blazers,Denver Nuggets,1.5919799437791475,-0.3484869936494426,-0.6062174571536023,1.5618908817486705,1.4037834813670456,-0.37286959801973335,0.9159639942754049,1,11/01/2013
0,Minnesota Timberwolves,Oklahoma City Thunder,1.5919799437791475,0.08712174841236064,-1.0341356622032047,3.030068310592421,2.139098638273595,-1.0338657036001675,0.9798684589922949,1,11/01/2013
