,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Los Angeles Lakers,Chicago Bulls,-1.8973665961010275,0.08558813134252535,1.0090181084026197,-0.18805258191443758,-0.28480147606318496,0.28480147606318496,1.0071108898269587,0,12/25/2011
0,New York Knicks,Boston Celtics,1.8973665961010275,-1.5120569870512786,-1.0090181084026197,0.3590094745639262,0.28480147606318695,-0.28480147606318695,0.31595635759277174,1,12/25/2011
0,Miami Heat,Dallas Mavericks,1.8973665961010275,2.852937711417506,1.8919089532549123,1.8805258191443754,1.424007380315932,-1.424007380315932,1.283572702720635,1,12/25/2011
0,Oklahoma City Thunder,Orlando Magic,1.8973665961010275,-0.2424997054704874,-0.2522545271006552,1.461681432153128,1.242770077366631,-1.242770077366631,1.974727234954821,1,12/25/2011
0,Golden State Warriors,Chicago Bulls,0.0,-0.6183787294338379,-1.244134171467679,-0.20191743758867953,-0.061258572315418314,0.37439211745751494,0.5772832507974142,1,12/26/2011
0,San Antonio Spurs,Memphis Grizzlies,2.0799471766154856,-0.8966491576790655,-3.3261546216788975,2.8066523824826453,1.5804711657377895,-1.5092682235006047,-0.3996576351674406,1,12/26/2011
0,New Orleans Hornets,Phoenix Suns,2.0799471766154856,0.2628109600093803,-0.6093718390862104,0.22210918134754748,0.0,0.0,0.2664384234449604,1,12/26/2011
0,Orlando Magic,Houston Rockets,1.0399735883077428,-0.4019461741319948,1.1425721982866444,1.0802582910994352,-0.24503428926167303,-1.415670194136228,0.3108448273524537,1,12/26/2011
0,Toronto Raptors,Cleveland Cavaliers,2.0799471766154856,1.2831358635752128,1.4472581178297492,1.8980239133335874,0.808613154563522,-0.7721837422561248,2.6865874364033475,1,12/26/2011
0,Portland Trail Blazers,Philadelphia 76ers,2.0799471766154856,0.3864867058961486,-2.031239463620701,0.7975738784752839,0.3552997194294265,-0.33929285644587326,-1.4432081269935328,1,12/26/2011
0,Indiana Pacers,Detroit Pistons,2.0799471766154856,2.164325553018432,-1.4726486111250083,2.7056936636883053,1.5069608789592883,-1.4390697014773215,-0.11101600976873227,1,12/26/2011
0,Dallas Mavericks,Denver Nuggets,-2.0799471766154856,-2.0097308706599724,0.8378862787435388,-3.8465271860643444,-2.670873752952237,2.246352704745088,-2.242523397328414,0,12/26/2011
0,Los Angeles Lakers,Sacramento Kings,-2.0799471766154856,0.6647571341413752,0.6093718390862104,-1.564860141312266,-1.3476885909392013,0.7838834959266698,-1.376598521132295,0,12/26/2011
0,Oklahoma City Thunder,Minnesota Timberwolves,2.0799471766154856,0.6956760706130676,1.4726486111250083,1.0398748035816994,0.6370891520803501,-1.0178785693376164,1.4654113289472794,1,12/26/2011
0,New Jersey Nets,Washington Wizards,2.0799471766154856,3.014596305989959,1.0156197318103506,1.3225592162058506,0.5513271508387643,-0.5264889151746298,0.0666096058612402,1,12/26/2011
0,Charlotte Bobcats,Milwaukee Bucks,2.0799471766154856,2.0715687436033563,1.0410102251056093,0.22210918134754748,-0.012251714463084692,0.011699753670548325,-0.0222032019537467,1,12/26/2011
0,Los Angeles Lakers,Utah Jazz,0.7462727707130202,-0.47301767926384053,0.8993002862333783,2.51855689753913,2.265298629256873,-1.4783384523741705,2.614065357564678,1,12/27/2011
0,New Jersey Nets,Atlanta Hawks,-1.1205296857552858,-0.7992367684113172,1.0791603434800539,-4.104586897155609,-3.122724745938212,2.924770319445303,-1.8799785105773377,0,12/27/2011
0,Boston Celtics,Miami Heat,-2.2410593715105716,-1.402742083334149,0.17986005724667553,-1.0573533330776523,-0.0740985532934495,1.3400765827276655,0.19695012967953063,0,12/27/2011
0,Sacramento Kings,Portland Trail Blazers,-1.1205296857552858,-0.603505314922832,1.5930462213276988,-1.5052599533397133,-0.9950377156548885,1.0635528434346557,-0.30437747314109287,0,12/27/2011
0,Minnesota Timberwolves,Milwaukee Bucks,-1.1205296857552856,0.6361272238375801,1.7472119846819925,-0.3377656480664722,-0.15878261420024808,0.26588821085866393,0.5013276028206236,0,12/27/2011
0,Golden State Warriors,New York Knicks,0.43382075252216834,2.394915114283205,-0.7018032151548788,0.6279096363676384,0.0,-1.064967338968168,-0.7487710425796126,1,12/28/2011
0,Los Angeles Clippers,San Antonio Spurs,-1.2988645285094857,-0.6563841424331752,-1.775149308921164,-1.9580866291990833,-1.0927509747934159,2.1565588614105407,-1.1877057916780034,0,12/28/2011
0,Philadelphia 76ers,Phoenix Suns,1.2988645285094857,0.46124291089898783,0.6605206730869448,1.6358698421156896,1.8752146357566046,-0.7854134124890229,2.194673745491968,1,12/28/2011
0,Cleveland Cavaliers,Detroit Pistons,1.2988645285094857,1.277288060951043,-0.7430857572228133,1.685441655513135,2.8735303411234288,0.18636928431943012,1.910657143134181,1,12/28/2011
0,Washington Wizards,Atlanta Hawks,-2.5977290570189715,-2.465875562113819,0.41282542067933986,-3.5361226890177537,-3.0219286216509307,2.6890425308946244,-2.143034363245098,0,12/28/2011
0,Utah Jazz,Denver Nuggets,-2.5977290570189715,-0.07096044783061323,0.24769525240760493,-3.403931186624567,-3.197308407728886,2.5292974300493993,-3.8729536685152333,0,12/28/2011
0,New Orleans Hornets,Boston Celtics,2.5977290570189715,2.980338808885765,-2.2705398137363733,1.7845852823080253,0.2563243027293207,-2.515985338312298,-1.1877057916780063,1,12/28/2011
0,Indiana Pacers,Toronto Raptors,1.2988645285094857,0.8337852620097088,-1.0320635516983514,0.6279096363676386,-0.8229359192888686,-2.0766863109879288,-2.013935907627924,1,12/28/2011
