,Home,Away,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Result,Date
0,Los Angeles Clippers,Golden State Warriors,1.6524457563481318,2.2215385795632736,0.4407811054576458,1.0050961645765282,-0.13433697505563955,0.12801999504742098,0.6172732324151472,-1.3985995755830831,1.2074716580894047,2.545562285211872,-2.9030348395890737,2.279937479079664,0.7023853683956143,2.1178796588445468,-0.3435337559600359,0.0,0.8472600223912663,-0.5826153655811431,-0.5659196470660777,0.41383885101598383,3.9625748676233683,1.122226456024823,1.2320593241996032,0.6418408552126829,1.122226456024823,-0.9301913504195356,-0.7844546638382435,0.9606030897668733,1.1904284308278248,-0.6091016531556138,-0.16458685454576027,-0.7116554372742621,2.9710882093305995,2.2288494028325654,3.0353710186325937,0.0,-0.16314270768027428,-0.34430003990225544,-1.6633238174614124,-2.2171883867449944,-2.21805158926494,-1.9808555968988448,1.224184241041108,1,12/25/2011
1,Los Angeles Lakers,Chicago Bulls,-0.8774615062778841,-1.057875514077752,-1.2488797987966618,-2.361975986754842,0.335842437639099,-0.704109972760818,-0.15431830810378616,-2.2106896517280963,1.536782110295607,1.1411141278535968,1.096702050511429,-1.691566516736525,0.2554128612347686,-0.9580884170963428,-0.7443231379134141,0.7581066510779357,-1.3767975363858065,-0.9321845849298288,-1.131839294132157,-0.5911983585942631,1.5030456394433471,-0.5611132280124116,-1.4438195205464097,-0.3667662029786753,-0.5611132280124116,1.9203950460274333,1.7885566335511962,-1.4039583619669689,-1.4636415133128993,-0.21186144457586573,-0.8777965575773872,-0.35582771863713103,-1.3468933215632035,1.0488703072153285,-0.2583294483942637,0.7581066510779371,0.05438090256009143,0.6312167398208016,0.6309159307612291,1.0152388928779692,1.014566184364091,1.4478899654462407,-1.0065514870782446,0,12/25/2011
2,New York Knicks,Boston Celtics,-0.2946221115969533,-1.6926008225244051,-0.587708140610196,0.7538221234323961,-1.1418642879729366,1.4722299430453478,2.134736595435716,-1.398599575583081,1.4270119595602049,2.018894226202518,-1.193469878497732,2.5741229602512328,-1.0855046602477672,0.9076627109333806,-2.5192475437069377,0.6633433196931939,1.9063350503803485,-1.8643691698596576,0.565919647066079,0.3547190151565587,1.9812874338116848,1.0598805418012252,0.13475648858433165,0.7640962562055716,1.0598805418012252,0.8701790052311817,0.8472110369453039,-0.07389254536668255,0.11709132106503195,-2.7277160989142675,-1.8104554000033624,-2.846621749097059,2.5353286052954447,1.0488703072153212,1.6145590524641482,0.6633433196931949,-0.2175236102403657,-0.11476667996741853,1.778035804872546,1.633717758654206,1.6372999113186009,1.6610762180272824,-0.4080614136803694,1,12/25/2011
3,Miami Heat,Dallas Mavericks,0.9735339339725424,0.21157510281555345,0.7346351757627412,-1.3568798221783145,1.7463806757233111,-1.2801999504742152,-1.7746605431935474,0.902322306827793,1.920977637869508,1.9750052212850728,0.12902377064840342,0.29418548117156984,-0.8300917990129987,-0.5042570616296547,-0.5153006339400568,1.3266866393863896,0.4236300111956333,0.4660922924649139,0.2829598235330395,0.5911983585942631,1.6396861521200146,1.0910534989130245,1.0395500547934151,1.0086070581913535,1.0910534989130245,-0.7801604874486469,-0.5334291714100066,1.0899150441585677,1.034306669407782,-0.9798591811633758,-0.9875211272745608,-0.533741577955698,1.22804979318998,-1.3766422782201184,0.7104059830842251,1.3266866393863899,0.8700944409614628,1.2624334796416032,0.05735599370557073,-0.3150741391690294,-0.30786835939323914,-0.3641931814926127,1.1697760525503922,1,12/25/2011
4,Oklahoma City Thunder,Orlando Magic,0.9671291054595649,-2.5389012337866035,0.8080986933390163,-1.4573894386359612,2.0150546258345905,-2.3683699083772973,-2.2890549035395025,-0.7669739608036261,3.1833343713266116,1.1411141278535983,4.7093676286667225,-0.5883709623431396,-0.06385321530869326,-0.4538313554666885,-1.4886462758268282,0.6633433196931939,0.4236300111956333,4.660922924649146,0.7073995588325981,1.2415165530479533,-0.54656205070667,1.3716101129192322,1.058800981734034,1.4365009616664712,1.3716101129192322,-0.5101049341010375,-0.4079164251958902,1.2007538622085914,1.1123675501178034,-2.224545168046587,-1.1521079818203224,-1.3343539448892474,-0.0792290189154827,-2.163295008631608,-0.06458236209856594,0.6633433196931924,0.5438090256009143,1.9510335594461081,2.581019716750463,2.5439319384758368,2.539913964994233,2.6204143546419703,1.3330006180225402,1,12/25/2011
5,Golden State Warriors,Chicago Bulls,-2.625979690320675,-2.2215385795632736,-0.8080986933390162,-1.8594279044665785,0.335842437639099,0.8961399653319508,0.7715915405189335,0.5865094994380671,-0.8232761305155034,-1.4922261671931671,1.548285247780841,-3.6773185146446186,-3.1288075501259263,-4.9921449101335815,-1.0306012678801115,-0.6633433196931957,0.9531675251901742,-0.8156615118136006,-0.565919647066079,2.187433926798773,-1.2980848704283443,-0.7481509706832141,-2.4256167945179694,-0.4278939034751219,-0.7481509706832141,3.2106604675771138,3.0750622822459137,-2.2721957700254887,-2.3808568616556496,-0.7415150560155299,-0.219449139394346,-0.2668707889778499,-4.159523493062838,-2.9499477390431035,-4.908259519491006,-0.6633433196931949,0.8157135384013714,0.9181334397393478,1.6633238174614124,2.2171883867449944,2.21805158926494,2.043034920568316,-2.4211643878368583,1,12/26/2011
6,San Antonio Spurs,Memphis Grizzlies,0.8774615062778841,-1.057875514077752,1.6161973866780326,-0.5528028905170946,2.0822231133624096,2.8164398910432737,2.2376154675049067,3.0227797278731123,-0.8232761305155034,-0.7900020885140295,-0.3548153692831095,-1.9122056276152013,1.724036813334695,0.05042570616296618,1.9466912837735448,-1.2319233080016458,-2.5417800671737973,-1.1652307311622865,-0.9903593823656376,-1.8918347475016437,-0.6148823070450049,2.244452912049651,1.0395500547934151,2.292288768616715,2.244452912049651,0.5101049341010331,0.5334291714100065,1.0714419078168969,1.0733371097627928,1.4035820703151072,1.9750422545491213,2.1349663118227937,-2.099569001260292,2.0977406144306565,-0.06458236209856594,-1.2319233080016478,2.990949640805028,2.697016979234334,0.9750518929946128,1.0794206619679636,1.077539257876347,1.074814023429418,0.8705310158514546,1,12/26/2011
7,New Orleans Hornets,Phoenix Suns,-1.1656787893618603,2.64468878519438,-1.1754162812203868,-1.0553509728053587,-0.4701794126947386,-1.792279930663901,-2.031857723366525,-0.4511611534138977,0.3841955275739013,0.4388900491744606,0.0,0.4412782217573541,0.38311929185215504,0.6051084739555834,-0.5725562599333951,2.179556621849069,1.2708900335868978,-0.6991384386973725,2.4051585000308338,1.3597562247668056,-0.06832025633833252,-1.6521667269254356,-0.7507861506841332,-1.58932021290759,-1.6521667269254356,-0.45009258891267934,-0.4079164251958858,-0.7019791809834842,-0.7610935869227077,-0.02648268057198322,-1.4264194060632547,-0.5337415779556964,0.6338321513238616,0.5899895478086149,0.8395707072813571,2.1795566218490663,-1.2507607588821028,-1.0902834596904756,-2.4663077293393294,-2.532262525914024,-2.532916956826211,-2.2118073705283066,-0.5440818849071593,1,12/26/2011
8,Orlando Magic,Houston Rockets,0.2946221115969541,1.7983883739321742,-1.3958068339492071,-1.4573894386359685,-0.5373479002225584,2.240349913329876,2.186176031470312,0.7218578454622363,0.10977015073540207,1.887227211450181,-3.9352250047763015,0.0,1.3409175214825402,1.0589398294222754,-0.28627812996669755,1.042396645232163,-0.5295375139945411,-0.5826153655811432,-1.2733192058986769,-1.3006363889073782,1.6396861521200148,-0.06234591422360225,0.1347564885843316,-0.09169155074466773,-0.06234591422360225,-0.12002469037671193,-0.18826911932117665,0.01847313634167064,0.07806088071002128,0.45020556972371456,-0.7132097030316268,-0.26687078897784666,-0.11884352837322408,1.8355230376268248,0.7104059830842251,1.0423966452321636,0.7613326358412801,0.2295333599348369,-1.7780358048725375,-1.7912548282387164,-1.7912340910152105,-2.1052142442377857,-0.10881637698143183,1,12/26/2011
9,Toronto Raptors,Cleveland Cavaliers,0.1921448553893176,1.1636630654855291,0.6611716581864713,-0.7538221234323961,1.2090327755007566,-0.7041099727608187,-0.7201521044843381,-0.2706966920483361,-0.6037358290447014,-1.4483371622757206,1.7418209037534464,-1.5444737761507397,1.7878900286433863,0.35297994314075976,0.9733456418867712,0.09476333138474002,-0.5295375139945412,1.1652307311622865,-1.8392388529647548,2.42391327023648,-1.5713658957816825,-0.1246918284472045,0.7892880045653708,0.12225540099289313,-0.1246918284472045,-1.350277766738038,-1.2551274621411894,0.9051836807418612,0.7220631465676969,0.7944804171594964,0.4937605636372798,1.2453970152299632,-1.1488207742744994,1.6388598550239433,0.4520765346899614,0.09476333138474212,0.6525708307210942,0.7459834197882201,-1.3765438489335833,-1.2544618503951983,-1.252464462077052,-1.1725243891957289,1.0609596755689592,1,12/26/2011
