,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Los Angeles Clippers,Los Angeles Lakers,-1.8257418583505536,-2.446293011623434,-1.483769079280287,-2.003158291831107,-1.4006750046306813,1.4006750046306813,0.032496205612514456,0,10/29/2013
1,Miami Heat,Chicago Bulls,1.8257418583505536,-0.29271882190365844,0.4093156080773211,1.8438161549809051,1.296492566269719,-1.296492566269719,1.966020439557122,1,10/29/2013
2,Orlando Magic,Indiana Pacers,-1.8257418583505536,-1.108149825778136,-1.0744534712029676,-1.6085968101067978,-1.2270376073624152,1.2270376073624152,-1.9985166451696361,0,10/29/2013
3,Miami Heat,Philadelphia 76ers,-1.0177004891982149,-0.6448256719877703,0.5359049261532984,0.009800236134690664,-0.4563626155783818,-0.5903909240360194,-0.1883790910898584,0,10/30/2013
4,Golden State Warriors,Los Angeles Lakers,1.0177004891982149,0.15684948778080987,-0.9589877625901134,3.763290675721221,2.1573505463705342,-2.9385366446338197,2.2947998369128184,1,10/30/2013
5,Memphis Grizzlies,San Antonio Spurs,-2.0354009783964297,0.7319642763104408,-0.3102607467203313,-1.4504349479342211,-1.0233585925090984,0.9929301904242122,-2.329050580747338,0,10/30/2013
6,New York Knicks,Milwaukee Bucks,2.0354009783964297,0.5576870676650989,-0.5923159710115411,1.4504349479342211,1.0233585925091004,-0.9929301904242142,0.8562685958629906,1,10/30/2013
7,Phoenix Suns,Portland Trail Blazers,2.0354009783964297,1.307079064840074,0.1974386570038468,2.675464464770556,1.5903545694398167,-1.5430671878214126,1.2844028937944871,1,10/30/2013
8,Brooklyn Nets,Cleveland Cavaliers,-2.0354009783964297,-2.0564710620150506,0.28205522429121044,-0.8428203075833984,-0.5946543172688027,0.5769729484897471,0.22262983492437805,0,10/30/2013
9,Charlotte Bobcats,Houston Rockets,-2.0354009783964297,-3.3286946851260537,-3.4410737363527613,-2.783267062252153,-2.1158630358634083,2.0529502585797923,-2.311925208830079,0,10/30/2013
10,Detroit Pistons,Washington Wizards,2.0354009783964297,1.0630909727365938,0.5923159710115403,2.195252894170712,1.5488670589326916,-1.5028132611825935,0.9761461992838096,1,10/30/2013
11,Utah Jazz,Oklahoma City Thunder,-2.0354009783964297,-0.17427720864534324,2.2282362719005593,-0.5880141680814408,-0.41487510507125663,0.40253926638819465,0.034250743834519704,0,10/30/2013
12,Atlanta Hawks,Dallas Mavericks,-2.0354009783964297,-1.585922598672623,-0.8743711953027502,-1.7052410874361783,-1.3552586765661043,1.3149616035347689,-1.3357790095462685,0,10/30/2013
13,Sacramento Kings,Denver Nuggets,2.0354009783964297,0.08713860432267162,-1.4666871663142915,0.4312103899263899,0.4425334454093407,-0.4293752174807411,-0.2568805787588978,1,10/30/2013
14,Orlando Magic,Minnesota Timberwolves,-2.0354009783964297,0.19170492950987772,1.2692485093104442,-1.1466276277588097,-1.3137711660589793,0.4696291441195604,-0.5137611575177955,0,10/30/2013
15,Boston Celtics,Toronto Raptors,-2.0354009783964297,-2.8407185009190954,1.2128374644522022,-1.2740306975097884,-0.8988960609877226,0.8721684105077548,1.1645252903736698,0,10/30/2013
16,New Orleans Pelicans,Indiana Pacers,-2.0354009783964297,0.5576870676650988,-1.3256595541686866,-1.323031878183242,-0.7467751891282627,1.0868560192481247,-1.5755342163879045,0,10/30/2013
17,Chicago Bulls,New York Knicks,0.0,1.1373869655307054,0.08904935967178508,-1.123330256868431,0.3177235305182644,1.3117955702941102,-0.03410299889557045,1,10/31/2013
18,Golden State Warriors,Los Angeles Clippers,0.0,-0.4899513082286111,0.5342961580307084,1.2838060078496354,0.20721099816408567,-1.176092580263684,1.21065646079275,0,10/31/2013
19,Los Angeles Lakers,San Antonio Spurs,-2.1237012450013832,-0.304926119443263,0.6775371579952034,-2.327217413805519,-0.35094587034176083,2.1694231157511727,-0.5538386942130363,0,11/01/2013
20,Phoenix Suns,Utah Jazz,3.183959887558295,-0.1742434968247213,-1.889972072302408,1.8117934228284576,1.2199546921404094,-0.5593043970296013,0.7881550648416286,1,11/01/2013
21,Miami Heat,Brooklyn Nets,-0.5317213012222353,-1.4375088488039558,0.21395910252480127,0.6247563526994682,0.6517566163489847,-0.01694861809180509,1.3845967355325883,0,11/01/2013
22,Milwaukee Bucks,Boston Celtics,1.5919799437791475,-1.6335327827317678,-1.6046932689360065,1.1089425260415557,0.08355854055756234,-1.1186087940592002,-0.2556178588675552,1,11/01/2013
23,Orlando Magic,New Orleans Pelicans,1.0602586425569125,-0.23958480813399136,1.4620538672528056,2.342836322623006,1.2199546921404094,-1.2372491207018406,1.874530965028737,1,11/01/2013
24,Dallas Mavericks,Houston Rockets,-1.5919799437791475,-2.80967638629864,-1.8186523714608065,-1.5931286993836438,0.0167117081115139,1.915193844374082,-0.2556178588675527,0,11/01/2013
25,Atlanta Hawks,Toronto Raptors,0.0,-2.80967638629864,-0.32093865378720143,-0.07809454408743352,0.9191439461331856,1.1016601759673927,1.83192798855081,1,11/01/2013
26,Sacramento Kings,Los Angeles Clippers,-0.5317213012222354,0.0,-1.3550743159904055,-0.9839912555016624,-1.704594227374272,-0.5254071608459865,-1.6402145944001436,0,11/01/2013
27,Portland Trail Blazers,Denver Nuggets,1.5919799437791475,-0.3484869936494426,-0.6062174571536023,1.5618908817486703,1.4037834813670456,-0.37286959801973335,0.9159639942754048,1,11/01/2013
28,Minnesota Timberwolves,Oklahoma City Thunder,1.5919799437791475,0.08712174841236063,-1.0341356622032047,3.030068310592421,2.139098638273595,-1.0338657036001675,0.9798684589922948,1,11/01/2013
29,Philadelphia 76ers,Washington Wizards,3.183959887558295,-0.021780437103088968,0.21395910252480135,2.233503960900599,1.1363961515828471,-1.0169170855083625,1.2354863178598476,1,11/01/2013
30,Memphis Grizzlies,Detroit Pistons,0.0,-0.23958480813399285,-0.8201765596784034,-0.9371345290492024,-1.1698195678058725,0.016948618091805145,-0.7455520883637002,1,11/01/2013
31,Charlotte Bobcats,Cleveland Cavaliers,0.0,-1.7859958424533986,-1.319414465569605,-0.4217105380721409,-0.6350449082374733,-0.28812650756070324,-0.19171339415066524,1,11/01/2013
32,Philadelphia 76ers,Chicago Bulls,2.1878756293070047,-1.8533090088229196,-1.0070006494957198,1.4403122615193031,1.6663431824200976,0.3125928889767144,1.6697371547791817,1,11/02/2013
33,Golden State Warriors,Sacramento Kings,1.0955779013321432,-1.0216959920434039,1.8931612210519535,2.5015949805335267,1.456028023473872,-1.1288076546381285,3.031891149467464,1,11/02/2013
34,San Antonio Spurs,Portland Trail Blazers,0.0,-0.6652904134236133,0.2819601818588013,-0.4851578144065021,-1.2457128645276463,-0.6078195063436075,-0.4394045144155748,0,11/02/2013
35,Utah Jazz,Houston Rockets,-3.2801733572818663,-0.6652904134236134,-0.2416801558789734,-2.5774008890345432,-2.0222611437137115,0.8856798521006867,-2.2849034749609864,0,11/02/2013
36,Indiana Pacers,Cleveland Cavaliers,2.1878756293070047,0.4276866943437501,1.893161221051953,2.531917343933933,1.4398499343241633,-1.4240342720050236,2.175052346357094,1,11/02/2013
37,Dallas Mavericks,Memphis Grizzlies,1.0955779013321432,-0.6415300415156269,-1.208400779394864,1.4554734432195064,0.9383291706831616,-0.746749679222146,0.7030472230649196,1,11/02/2013
38,Toronto Raptors,Milwaukee Bucks,1.0955779013321432,3.2314105794861168,0.201400129899144,0.6974143582093468,0.22649324809593654,-0.43415679024543385,-0.32955338581168114,1,11/02/2013
39,New Orleans Pelicans,Charlotte Bobcats,0.0,1.0929771077673618,0.6042003896974321,1.3038616262174745,1.342781399425906,0.052098814829451584,0.988660157435042,1,11/02/2013
40,Atlanta Hawks,Los Angeles Lakers,-0.5655153174158559,-1.874125447548891,-0.3698008574131859,0.6380085397267085,0.6198896840980608,0.09906636620332254,1.1229678615612726,0,11/03/2013
41,Minnesota Timberwolves,New York Knicks,2.258674950397461,0.0,-1.6271237726180177,1.7925001830417049,1.8429152770482875,-0.41607873805395656,0.7562844781943264,1,11/03/2013
42,Orlando Magic,Brooklyn Nets,0.5655153174158559,1.6365602499722696,0.6286614576024159,2.263411248078085,1.0889953909830787,-1.6048751324938246,0.66461363235259,1,11/03/2013
43,Detroit Pistons,Boston Celtics,2.258674950397461,0.05279226612813849,-0.8135618863090088,2.2026485300088745,1.826161501802395,-0.9312238423112328,0.5958604979712875,1,11/03/2013
44,Washington Wizards,Miami Heat,-1.693159632981605,2.2436713104458548,0.18490042870659296,-2.1266951324223617,-1.1727642672125465,1.446368946568509,-2.1084294543599382,0,11/03/2013
45,Oklahoma City Thunder,Phoenix Suns,0.0,-1.1614298548190305,-1.1463826579808756,-0.9266314505554576,-0.7204123355734209,0.2971990986099676,-0.5271073635899851,1,11/03/2013
